,0
285,"What a great experience and this is why . My friend and I arrived some days before checking into the space . The beautiful environment was just absolutely stunning . The tall old trees , the little garden and the use of every living thing there was breath taking . You have the option to use the big metal bridge to get to the place or to use the small river that collides with the sea . That was magical . 
 
 My first two nights we got the beach house which was detached from the eco lodge itself . It was right on the beach where their surf school is with a small coffee shop . The beach house was very beautiful , lively and with vibrant colors . There are two pets around . A cat and a dog which are both very friendly . You can take the dog for a walk I guess but you have to ask for permission first . And if you are allergic or don ’ t like them around you can ask for their removal whiles you stay there . 
 The inside of the space was beautiful and well taken care off . 
 
 We checked into the eco lodge space itself and the next day and it was so beautiful with natural and undertone interior . Warm showers , free Wi - Fi and a quite and siren environment . 
 The workers are very friendly especially Frederick and Joy who were helpful whenever we had any questions and issues concerning our stay there . The breakfast which is included in the room rates were absolutely mouth watering . They had some good options to choose from . They offer dinner options of the day and we only took dinner the night before we checked out and regretted we didn ’ t eat there the whole stay because it was delicious . My stay there was in great harmony and peaceful and I will definitely visit this place again if I have the chance . I highly recommend this place . Thank you Ahanta Eco Lodge for this experience ."
286,"An Eco hotel with luxurious rooms and facilities ; and an excellent restaurant with good vegetarian options . The road to get there was challenging , but worth the effort . The prices are a bit high , but worth it . Special place , even if you don ' t want to do surfing . Tends to be fully booked , so book ahead . - So yes rodents were seen once in the wall , as mentioned in other reviews . Not sure if it ' s against the spirit of eco habitat to exterminate them . however the nature of the clay / mud eco build means new ones can borrow back in from the surrounding forest ."
287,"I love everything about Busua Beach . . . I have never actually slept at ahanta but my friends have . Whenever I go to Busua , I have my breakfast at ahanta and sometimes dinner . . . It ' s"
288,Affordable
289,"Could be great or terrible depending on your luck ! 
 Let ’ s start with the positives : the location is great , just by the beach , the surf school and staff is amazing , surfing conditions are great for beginners and intermediates . The food is tasty and the normal rooms are beautiful , clean and well - maintained . The only thing that was a bit unpleasant was the strange smell of our bungalow and the pitter - patter of rodent feet heard at night which I can only assume were rats - but to be fair we did not see them even once , it can just be unpleasant if you ‘ re scared of such animals and hearing them close by . 
 In the middle of our stay , a large group of 10 - 12 people arrived who threw a party with loud music , laughing and yelling until well past after midnight with no consideration whatsoever for other guests . Given that the soundproofing in this lodge is absolutely zero , it was impossible to sleep or even relax as we had the previous days - loud music picked up early the next morning again . 
 Given that house rules demand guests to be quiet after 11 pm , it was disappointing that I there was no intervention from staff or management . While I understand that facilities may want to accommodate larger groups or enable parties , I also think it ’ s only fair to give the other guests a warning or heads up that the quiet paradise getaway and relax spot they had originally booked is to be turned into what resembles a party hostel for the foreseeable future . For what it ’ s worth , after bringing this up the next morning the staff seemed genuinely sorry and explained that the party had gone on so long without their knowledge , but we had tried contacting the staff via phone without success the prior night - perhaps for future occasions , staff will either be onsite or available over the phone to avoid such situations . 
 We decided to leave the lodge early , but for the first half of our stay I would easily give a 4 , 5 / 5 !"
290,"Very nice , clean and unique resort , great food & helpful staff . We had three wonderful days & then it really turned bad . A huge group showed up with loud music & party all night , loud music at the breakfast and no respect for the other guests . No reaction from the staff to interrupt it . No communication from the Hotel Management . Really disappointing ! For future stays the Management should give a heads up to the other guests that a party crowd is coming ."
291,"  ! ! Watch out if you want to bring your dog or you ’ re fearing dogs ! ! The owners dog has bitten my dog several times and even attacked me when I defended my dog . He also bites humans if touching him . Even though we agreed several times that this violent dog is staying inside the office while we ’ re around , he was still running around . They didn ’ t stick to what they ’ ve promised us , which was unfortunate because we wanted to leave after the first attack immediately . But due to their promises we stayed . If we would have known that they have a dog who ’ s defending his territory by constantly attacking other dogs we wouldn ’ t have chosen this accommodation at the first place BESIDES we were told that this is a dogs - friendly place . I was especially shocked of the reaction of the owner Julia , who was reacting very arrogant after my dog and I got attacked , when we had to pass through the hall . To my defend I didn ’ t see the dog being there but when I saw him he was already on his way to attack us . 
 Except from the owner Julia , the team is very friendly , welcoming and makes you feel like home but I wouldn ’ t recommend staying there"
292,The place is good for living and also having a nice road .
293,"We only ate here once but it was incredible . We stayed at the scorpion lodge but ate here , food was much better !"
294,We had a fantastic stay at the eco lodge . The rooms were very comfortable and stylishly designed . We had some delicious meals there as well . A great place to relax in between surfing sessions . Julia and her staff is also very friendly and helpful . We will be back soon
295,"My partner and I stayed for a week with Ahanta waves and really enjoyed our stay . 
 The employees are extremely welcoming and friendly . 
 Nevertheless I want to address some things that I wish I knew before my vacation there . 
 
 1 . The communication towards us costumers was fairly poor . For example did we not know that we will be charged for refilling our bottles with water from the communal hall . Neither did we know that breakfast was included nor what time it would be available . So we involuntarily missed the chance to have those incredible pancakes for quite some days . 
 2 . The sea really smells . There is a lot of trash and fishing going on at the nearby beach . But if you walk further ( ca . 10 min ) you will be able to enjoy a calm and extremely beautiful beach without the special smell . 
 3 . There were rats in our room . And this was something , when realised , we really struggled with . Every night we heard noises but thought it were lizards walking on the roof . We have had our water and food poked holes into . But to be honest I just thought my partner snacked without me . The last night we then saw the rats walking up our walls . If we would have known earlier we would definitely not have stayed in that very room . 
 
 Ahanta waves is a beautiful place to unwind . It ’ s made with a lot of love and their food is extremely delicious ( 4 - 7 euros p . meal ) . We liked our stay but If the communication and rat situation were tackled our stay would definitely have been more enjoyable . 
 Wishing all the best ."
296,Beautiful place 😍
297,"Good food , nice scenery , good customer service and great price . . . Honestly glad to have made this trip . And great place to surf for beginners too ."
298,"Very nice destination , probably the best around . . ."
299,So nice a place to be . . . . . Beautiful natural environment with nice people . The fufu is so good .
300,Ahanta is a beautiful destination in Ghana . It offers a local vibe with gracious hospitality . By far one of my favorite places . ❤ ️ 🏄 🏻 ‍ ♀ ️ 🌍
301,"The Ahaanta Eco Loge is a small resort that is concerned with sustainability . There is a solar system on the roof . The rooms are equipped with a climate . For me the highlight , the noises from the forest were . Grilling , birds etc . In the room there is a very good breakfast . The journey is an adventure . It goes over a bridge that is covered with steel plates . Unfortunately , the bay in front of the resort is covered and an outflow to the sea flies by . The sea and the waves are great . Attention current at low tide . You can shaft surfing there . The place opposite is a small typical Ghan place . We ate there near the school in a Fufu hut . A highlight for everyone ."
302,"We had the most wonderful almost 6 week stay at Ahanta Eco Lodge whilst volunteering at Asomdwee Fie Peace Home in Busua . Ahanta is low key , relaxed and green . Great kitchen and our hosts , Peter and Julia were very friendly , helpful and accommodating . All the staff are fantastic . Busua is quiet and on a great surfing beach . Surfing lesson can be arranged via Ahanta ."
303,It is a cool place to be if you need some me time . It has a very calm ambiance . Was a bit disappointed with the food .
304,"Absolutely delightful , lovingly kept place in a magical setting next to a fishing village . We loved the stylish , comfy rooms , the superb food and wickedly good cocktails ( the African caipirinha is not to be missed ! ) . There is also great surfing and lots of other activities . Combined with reasonable pricing , this is a five star place hands down ."
305,Nice place
306,"Beautiful location , great food . If you have dogs let them know ahead they have an unfriendly ( to other dogs ) but cute dog"
307,Beautiful warm decorated place and very good - healthy - food . Love the oatmeal breakfast ! Very good place for surfing even had my first ever lesson . Long walks to Butree and to Fort Dixcove .
308,Incredible place amongst the mangroves . The shower built INSIDE a tree - trunk was amazing .
309,"Everything about this stay was great ! I was in Ghana for a few weeks from the states and wanted to check out the local surf scene , so that is how I found myself at Ahanta Eco Lodge . The room was clean , air conditioned and settled between large trees down a stone pathway . The food at the restaurant / lounge area was delicious ! Chef did a great job . Bebe the surf instructor is a super cool guy that was eager to share his home waves and some technique to help me have an extra food time in the water . It takes some effort to get to this place , but once there , its a really great spot ! I would 100 % stay here again ."
310,I ' ve not visited them before I lived down that hotel but I feel they are not serious cause the outside walls is dirty and needs some painting
311,Quite and serene as always . Love it
312,Great accommodations
313,They serve only breakfast . There ' s no in house restaurant
314,"Great service , nice rooms . Good security . Quite location . Peaceful ambiance ."
315,Lovely
316,"Nice , conducive place and maximum security"
317,Very renounced place to go for .
318,Great place but needs fumigation from time to time
319,Spacious rooms and serene environment
320,Stayed for a night . Didn ' t wait for sunrise
321,Great room .
322,"Nice executive rooms , breakfast on point Ghc250 for basic room"
323,Great place to stay overnight . They only serve breakfast . For lunch and dinner you have to get out of the hotel
324,Good location
325,A perfect place to relax
326,A beautiful and cute hotel located in Takoradi Racecourse city . . A well to do settlement . . Environment is clean and neat
327,The rooms are great
328,Nice
329,Loved it
330,Good service
331,Nice hideout for the weekend
332,Correct . But wifi null
333,"Nice room , extremely neat environment . Breakfast is on point ."
334,Very calm and welcoming staff
335,I loved the experience here . The atmosphere is serene and beautiful
336,Nice and cool . Love the pool and the reception is great
337,Swimming pool
338,"Low - level hotel . Once the hot water is missing once the wifi . There was only one sheet , one towel . 3 days to take the linen and in the end I kept it dirty . Bathroom . . . . we fly over ."
339,Nice Sandy Beach
340,A great place to be
341,Beautiful Atmosphere
342,Serene environment
343,Kul and nice place
344,Very very nice place to live
345,Paradise !
346,Vary nice place for and your family
347,Popasarboh 17
348,Is very good
349,Speechless . . . .
350,Splendid
351,Lovely place
352,A nice place to be around Taadi
353,😃
354,Nice
355,There we pop
356,"It ' s the best beach resort with serene environment and clean compound . Many people visit there for family holidays , occasional holidays , organized programs and other to have fun . Drinks are less expensive and you will get the type of drink you would like to drink . They have well trained and responsible workers"
357,Excellent
358,Eye catching
359,An awesome experience
360,No accommodation as at 9pm
361,Nice place with serene environment
362,Infact everyone should have plans to visit Essbenah Hotel and 👀see it for himself and I promise anytime I have the opportunity I will surely be there again and enjoy the facilities there
363,The rooms are amazing with quite moderate prices as well . Loved my sleep .
364,Awesome
365,Loved this place and their Service .
366,Not spacious environmental
367,Cool
368,"Not good at all It deserves just a star . Poor lighting , aircondirion and television services"
369,Cool place . . . if you ' re in and around Bogoso you can pass through
370,Home SWEET home
371,"I came here during a survey project . If you just need a place to put your head and not anything more , I think its ok . But you would have to go out to town to shop for whatever you need except bottled water and probably some beverages"
372,Good
373,An awesome place . It is a quiet and safe place to be .
374,Nice place
375,Superb
376,Accommodating
377,It was an awesome experience . Nice room with ac
378,place for relaxation
379,Easy to have pictures for many years ! !
380,very affordable
381,Good
382,nice place to be
383,Nice place
384,Currently not in use as a hotel
385,Pretty cool place for relaxation
386,Nice Reservations
387,Nice place
388,Affordable and nice rooms
389,Calm and relaxing
390,It was fantastic n so nice
391,"I recommend this place for any business partners , family , Honey moon and individual leisure time take it to no other place than yabah hotel best hotel in nzema land"
392,"Convenient , simple and cool place"
393,"Yabah hotel has a serene atmosphere , well spaced car park , provides quality services to customers and offer the best meal ever . 24 / 7 lighting system with much air - condition ."
394,Great place
395,Good service clean rooms
396,The place is very cool . And the worker ' s is very good and smart in all standard
397,Nice place lace
398,Tenack is the second best hotel in Nzemaland . They have a lot of facilities . It ’ s a nice place to stay . Don ' t miss it .
399,Fantastic
400,Fantastic place 😊 ❤ ️
401,Pleasant
402,Great place to hang out with family and friends
403,Feel the nature
404,Facilities are good . Food is okay . Consistency of electricity supply would need improving . That withstanding it ’ s close proximity to the beach makes it an ideal vacation spot .
405,Quite expensive
406,Atmosphere is good for everyone
407,Good place to be
408,Nice place
409,Quiet place
410,"Raybow Hotel is located in a serene area within Takoradi . Is a multi - purpose hotel with services including an events arena , two separate conference rooms , gym rooms , a swimming pool . Their customer service , too , is on point ."
411,Eco friendly
412,"One of the Nicest hotels I have stayed in in any country . Including USA , UK , Kenya , Zambia , Swaziland and Ghana"
413,Serene environment for relaxation 😁😁😁😁🥰
414,"Nice place to be , especially Friday night 
 I really enjoyed the live band ☺ ️ 👌 🏾"
415,A safety place for both kids and adult pool side parties
416,It is a cool place
417,It ' s a great place to be
418,Raiba
419,Such a nice place . I enjoyed their live band .
420,"No stress in opening doors by yourself , the moment you get to the door , it is detected and opens up for you . They have a great gym as well and a pool . Their gym is really one of the best . And the customer service from the waiters is also superb ."
421,I ' ll recommend for business travellers
422,Nice hotel
423,Great place
424,Beautiful and peaceful area . Access to the place is very easy due to its nearness to the main Takoradi - Elubo road .
425,"A cool hide out to be , it has suits for everyone at affordable prices"
426,No size
427,Services is somehow good
428,Very nice place
429,Afforedable
430,The place is very nice and attraction
431,At Yaba hotel your local and continental dishes ready ! ! !
432,Budget hotel located Takoradi . Always the place to house my Tema when duty calls in Takoradi
433,The bed was comfortable . . . . the staff was nice . . . the place was kept clean daily . . . the Breakfast was on time daily . . . but the cut the water off all times of the day and night and the wifi is awlful . . . and tv channels are not good . . just one channel
434,It seren environment
435,😃
436,"Great Hotel , great service . I will write more on this hotel when I return from my trip ."
437,Nice place with great service One problems are the smaller rooms and road leading there
438,My client complained so we moved out thé next day
439,"Amazing price , terrible service , no restaurant - not even within the nearest 2km radius . Staff is terrible , no one was at the reception for several hours , met dirty bed sheets and no one was willing to change them ."
440,Not in good condition
441,Not bad
442,Good n luxury place to relax
443,"Route to the hotel is in a bad state Pretty old hotel with not up to date maintainance culture . My room was spacious with a pretty simple setup . Queen size bed was okay except for the fact that I don ' t like coloured bedsheets . The only thing I didn ' t like was the washroom , lots of maintenance required there . The receptionist was pretty professional"
444,Was okay . The only problem was the road leading to the hotel
445,Good services
446,A lot of maintenance needed
447,Very cool
448,Very nice
449,Very beautiful hotel but road leading to the hotel is in bad state and dusty
450,I great hideout for couple
451,Serene and cozy . Excellent customer services Reasonable rates . Value for money assured
452,This was a pleasant place to stay . The staff were pleasant . We wanted to go away for a few days then come back but despite repeated asking they would not confirm if there was a room - which was unhelpful . The food is vegan only which was not clear from the website .
453,"The rooms are basically clean and the building is painted in a beautiful white . There are seating and two hammocks as well as a bar or reception on the rather small outdoor area . You can also sit comfortably on the roof terrace , Only I don ' t like the lighting in our room : very weak and cold light ."
454,"Beautiful romantic place with incredibly dear people . Vegan food , clean rooms . Unfortunately we were only there for one night , but here I will definitely come back . You can walk to the beach in 5 minutes and it is very clean ."
455,"It is calm and relaxed here , cozy hammocks and a roof terrace invite you to linger . Nancy , the host , is a pearl . She even got us behind in the room because she believed that we had forgotten it . Breakfast is good , Nancy even buys almond milk in Takoradi . The rooms are calm and better than we would have expected at the price . On the beach you are on foot in 5 minutes . The surroundings are a bit dark in the evening , but in our knowledge is very safe ."
456,"Best place to stay in Busua ! Abu and Nancy are great hosts . Amazing people , delicious vegan food , relaxed atmosphere ."
457,How do you love artworks ? 😎 order you the Christmas art piece @ benjee - artstudio
458,"Very nice hotel . Quiet garden , nice rooms and great food . I will come back for sure !"
459,Very nice Ressort with a friendly host that cooks very nice food ( vegan ) . The rooms are clean and the rooftop is just beautiful to hang out there even when it rains .
460,We stayed one week at this place . The staff is amazing ! Nancy is a phenomenal chef and served us delicious meals all day long . I ' m not vegetarian but did not miss anything . We could easily pre - order food over WhatsApp which was very nice . Abu is the guy who works the hole day and he can repair literally everyting . We wanted to make a long bicycle tour and Abu spent a full day just for us to make sure the bicycles are in perfect condition . It was a pure joy to stay there and I would recommend this 100 % .
461,"I stayed here with 3 friends and we loved it . Nancy and staff were very welcoming - they always put cushions out for us and even got us freshly picked coconuts . The food was very good and Nancy catered for a large group of us . Our room was bright , comfortable and clean with clean linen and towels provided . We loved the garden , the hammocks and the outdoor shower . It was a great place to relax . There is also a roof terrace where you can play games or relax . We extended our stay by one night and would have stayed longer if we could . We 100 % recommend !"
462,"This is the hidden gem of Busua , so much charm . . - nice vegan food from Nancy , - Uncle Abu who always does everything to make you happy , - a quiet place where the cool breeze makes a little better every day , - A place where we could also go very well with our 1 daughter , because the apartments are looking forward to the garden . That way we could have a drink or eat while she was in bed . All in all , go to Busua , don ' t doubt and go here . For me the most soothing place ."
463,Eating all veges dish was a great experience . Love to eat quality food Nancy has prepared at this serene environment .
464,Really enjoy the quite area and the friendly staff . It ’ s about 2 - 3 minutes walk to the beach . The place has a vegan restaurant . Will for sure come back again
465,Love the relaxed athmo
466,"Great clean place , hidden from noise but close ( 2 - 3 ) minutes from the beach . The rooftop is amazing . No mosquitoes , nice service and lovely food as well ."
467,The FOOD ! Nancy makes the best avocado toast I have ever had ! Some of the best vegan food I ' ve had and perfectly sized portions .
468,Cool place
469,"If you ' re looking for a quiet and serene atmosphere away from all the troubles of city life , Laughing Goat is the place to be . They try to keep everything as natural as possible . With Friendly staff and very moderate prices , it was the perfect find for me 😊 ."
470,Excellent location . Friendly staff . Shower needs a little more pressure . Rooms could use a TV . Parking could be improved . Overall experience is excellent .
471,What a lovely place and lovely people . Awesome !
472,It ' s ok but gone vegan still ok meals if you like grass and lettuce and nuts
473,Laughing Goat should be the Go to place for vacations in Takoradi . The place was excellent and I liked its Serene nature .
474,The environment is all I can think off if I any to getaway . . . . . perfect place for friends lonely time .
475,The place is not bad
476,Great place to stay 👍🏽
477,We arranged atmosphere . Serene and welcoming
478,Nice
479,"We ’ ll teach you surfing amidst a dream panoramic beach , or you can just rent a board and go surfing by yourself 
 We can show you the best places to skate through various West African cities 
 or arrange a yoga lesson next to the ocean near the coconut trees 
 We can organize jungle and beach hikes for you , find a gym , which fits your needs , or we can even organize the perfect massage for you after your training sessions 
 We will guide you through local food delicatessens and / or provide you a small cooking class on how to prepare local recipes with local ingredients from scratch 
 We will take you through the big local markets , and if you want to party , we can show you the night - life scene of the city with its clubs , bars , and festivals 
 Whatever you like , you can decide how much you would like to rely on us with your activity plans 
 Whether you just need information : where , how , and when , or need to have your activities fully coordinated with our help , 
 we are here for you 
 Whatever you need , send us an e - mail , and we ’ ll get started ! 
 Justice ’ s Brother - 
 100 % made in Ghana   Solely run by Ghanaian locals"
480,Great staff and lovely setting so close to the beach . Really enjoyed my stay
481,"Clean , spacious room , friendly employees , really nice property . Wouldn ’ t recommend the food , we paid 25 GHS each for very strange and unsatisfying veggie burgers that took over an hour to arrive . It was ludicrous , it felt like a practical joke . The burger was a tiny soggy mess on top of one slice of bread , and there were two pitiful slices of potato beside it . Very disappointing to two very hungry people . Other than the food all was well . If you stay here I would recommend seeking meals elsewhere ."
482,Relaxing hotel with friendly staff
483,"I enjoyed my stay here , rooms are quite iluminated and clean . Nancy was super helpful and made breakfast super fast every time - her banana pancakes are tasty ! They dont offer coffee option during bfast , so you need to go elsewhere if youre a morninh coffee drinker . As the guest of LG , you get to have a special offer for surfing classes , which is great . Also , they have a sister B & B by the beach called Coconut Dream that is a nice spot to hang out when you need a break from the sun . It was further away from the beach than I expected and you have to go through a small neighbourhood of houses with limited access to water , which felt invasive some times ."
484,"So this is about 1 year ago I was on a tour of Ghana and think back to my stay with missing and this particular place is an oasis of everything you want from a trip . The Laughing Goat is the best of the best . Super undercuting atmosphere , so nice attitude , good food , nice room and waoow , so beautiful . Nice , pleasant atmosphere and good hang at the bar . Missing ! ! !"
485,"Beautiful hotel close to the beach , very comfortable and clean rooms , and the staff are the best , very friendly and helpful in everything we needed ! We had 2 nights booked and finally stayed a whole week , also the food was incredible . We felt sick one day and they take care of us at any moment . Thanks for all !"
486,Is a place to be
487,"Excellent budget accommodation . Good service and ital food . You will have to walk by a mini village to get here , but it ' s brief and all else is eye candy ."
488,"Aboh , one of the workers there was very friendly and helpful in carrying our luggage and assisting us late in the night when we arrived . Room service was however very poor and the washroom wasn ' t very neat . The drainage system of the sink wasn ' t the best and there were lots of mosquitoes with no AC room ."
489,Nice facility with great roof terrace and garden . Vegan food highly recommended
490,The rooms are clean and big enough . In the night the bar in the third floor is open and the staff is very friendly up there . The staff is always open for questions . I recommend this hotel near the beach .
491,Closest to heaven that I ' ve been to . . .
492,Beautiful and cool
493,"Had a wonderful stay here in 2017 . We had the entire place to ourselves , the staff was very friendly and the food was okay . I really enjoyed it , will hopefully visit again one day : )"
494,Ouahhhhhh . If paradise looks a little like that : sign up !
495,Amazing experience . If you want some peace and quiet this is the perfect place . You can do some activities in the towns nearby but its not really needed cos Lizzy and James will make sure you have an amazing time .
496,"Beautiful place , good food , nice hosts ."
497,Charming simply loved I ' ll be back at Christmas ! ! ! ! ! !
498,"My wife and I stayed there for one night as we passed along the beach and had a wonderful stay ! We actually only planned to spend the day there but enjoyed it so much we ended up spending the night and most of the next day there ! The setting is just indescribable . I ' ve travelled the whole of Ghana and it is by far the nicest beach in Ghana with a perfect swimming beach . Food is wonderful and the rooms and simple but have clean and comfortable . Have fan , running water , mosquito nets and nice bedding and sheets . Would highly recommend ! All previously mentioned security issues appear to have been resolved !"
499,Very nice views from this place but staff must be given a customer service lesson . The place could be better kept .
500,It ' s a very cool place to have a holiday
501,beautifully endowed with a calm and quite atmosphere . definitely one of the perfect weekend getaway .
502,"Amazing remove place for weekend getaway , during low tide the bay is very pleasant to swim in ."
503,Rooms are not modern style
504,Its a very lovely place and the sea is simply amazing . Very friendly staff . Its just a bit far but very lovely
505,"Superb site , good food"
506,The size of the rooms remind me of the cells in cape coast .
507,"The lodge offers variety accommodation , it costs 100 - 140ghs . It is clean and comfortable . Restaurant offers varieties of food , even vegetarian style . Just that food is more expensive than I expected . The bay itself is beautiful and beach is clean and safe , even for kids . You can visit nearby village . Just to get to Cape Three Points is bit of the problem as you either have to walk 2 hours ( which you have to hire guide ) or go back to Agona and get car to that place . The place is really calm and we enjoyed the beach ."
508,"clean beach , warm reception , very beautiful at night and early mornings"
509,Robberies take place over and over again . People from the village enter into the rooms while people are sleeping ! Check TripAdvisor reviews for more information . Don ' t go ! ! ! !
510,"Supper reception by "" Rasta "" , the caretaker . Great security . Nice people ."
511,"One of the most beautiful bays in Ghana , an essential place to visit , peace and relaxation guaranteed !"
512,Heavenly place . Very safe super ocezn welcome . Most beautiful Ghana beach
513,"A very nice place to enjoy the beach in peace . Impeccable service : warm welcome , personnel availability without forgetting the quality of meals ."
514,Good place to be . can ' t write much but be there and see it your self . Tourist attractions perfect . By Labister Yankey
515,it was an amazing place to stay and i would recommend it to everyone . i spent a little over a week here and i don ' t think i will ever forget it .
516,"This i my favorite place all over Africa , brilliant , mesmerisingly , africadelic Olivier & Danielle made a great job !"
517,Great place
518,Good food and good ambience
519,Nice environment
520,That ' s where we had our honeymoon some years back and it was just perfect .
521,"LOCATED IN THE WESTERN REGION OF GHAna , ESIAIA all the Takoradi Elubo Main Road ."
522,Food was very delicious and the prices very affordable .
523,Great experience
524,It is a very nice place with a sweet serene atmosphere
525,is place to be
526,Their rooms are spacious and nice
527,Very friendly and helpful staff 👍
528,Nice place
529,"Peaceful and calm although it ' s situated in proximity to the Essiama town . Even if you don ' t get everything you want there , it only takes a few minutes to get to the town and buy whatever you want . The town is very lively in the evening . Choppables are everywhere . The rooms are okay ."
530,Good service Neat rooms Good and tasty food Clean environment
531,Excellent rooms with quality services
532,"Really nice hotel . If you want the best of Nzema Akyeke and Tilapia , please visit this hotel . The staff are very friendly ."
533,Food 8 / 10 . Ambience 9 / 10 . Best place you can relax from the noise and stress in Sekondi - Takoradi
534,it a place to be
535,Having my Holidays in your Hotel was a fantastic one .
536,Serene atmosphere
537,Good
538,"Veivaag Lodge is one of the best places you can ever imagine to have a wonderful moment or spend the weekend with your love ones or family . Their services soo good and their meals are great . There is a secure parking lot , wondering where to spend you weekend ? Just visit Veivaag and thank me later . Enjoy the beautiful and comforting sea view which helps to relax and reflect on yourself . There ' s also a swimming pool for both adult and children with a lifesaver always observing the various activities , also a kids playing with lot of stuffs to play with . Their food menu and prices are moderate too . . . do visit and have a wonderful moment"
539,Serene atmosphere and helpful staff . Food was not bad . Will definitely stay there again anytime I ' m in Sekondi .
540,Good hotel for vacation
541,Nice rooms . . not impressed with the food .
542,It has great view is a nice place to be but they should get a place for smoking . Not all is ok with the smoke scent
543,It ' s a nice place to stay with such a cool view .
544,Great sea view . Entertainment at its best
545,Great place to chill and swim !
546,Beautiful ocean and pool view . Food was great but pricey . Helpful staff . Will definitely go there again .
547,Is a very good place and has a conducive environment
548,"Nice stay where you have a great app with a great breakfast for a 60 . 00 euro per night . Just say that you want to eat it on the terrace , otherwise they are or half past six banging at the door 🤪 Dinner is a challenge . This is almost everything you want to order , but yes you can ' t have everything it ' s Africa ."
549,"I stayed there back in 2012 . 
 It ’ s an amazn place with a pool . . ocean view . 
 And great outdoors bar / patio . 
 It became a home away from home , 6weeks x 2 … . 
 The staff and owners are just amazing as the cooks … the food is Superb … . The Charcoal Grilled Lobster is Super ! ! ! ! ! . . even better yet ! ! ! On my first day , pulling in … there was a truck unloading a 200lb . grouper … absolutely lip smacking 
 
 The room I had , over looked the pool … Very comfy beds … AC worked great ! 
 great times … . 
 
 Bottom line ! Ever time I was in need … I was helped , from getting cash advance on my visa to laundry being done 
 
 It is some what mountainous , with trails . 
 I would travels these , my coolest find was a boars tusk … 
 
 Good Times at the Veivagg ! 
 
 Go There ! !"
550,Nice place to relax
551,had a very good time there . . . . in fact it was fun together with my kid bro . the place is also a hide out for every eyes to see
552,"Serene Environment . A good place for the Weekend . The weather , the sea view makes it an all important place to visit for a good relaxation of the mind"
553,"Difficult to reach , but at the end of the street , a corner of paradise"
554,"I am simply posting here again because you can ' t respond to a post once the owner has posted . I just want to clarify that there is no way the previous response was accurate because it referred to me receiving a discount because my father was arriving from cape coast . My father passed away some time back , I came with my friend , and we certainly did not receive a discount . The toilet seat was dirty , there ' s no way around that , I cleaned it . I strongly feel in the service industry there is no room for arrogance but for humility and proving the best service . We did not receive that at Safari Beach Lodge . The kitchen staff was friendly but the food was late , no arguing that , even ask them because we went to ask for the food two times and they apologized both times . There was a group of 5 gentlemen also staying in the hotel so maybe that delayed out food . My main annoyance had come from one of the staff that seemed relaxed about the fact that our room was not ready . We had travelled for 8 hours and just wanted to rest , he kept telling us it as not his fault a lot of things had gone wrong that day . I really wish the owner would have been there the night we came , at this point its just my word against what the owner has been told . I am an avid traveller and take reviews seriously . I caution those that want to book at Safari Beach Lodge . I truly wish the renovations are your only problems and once that is resolved the place can operate normally ."
555,"Great remote place . In the middle of the green , we liked it very much , the most beautiful and the Suabest beach in Ghana . Water and electricity did not always work , but hey you are in Ghana . Food was fantastic also gave something different every day ."
556,Cool place for relaxation
557,". . . on the Esiama - Elubo Road , good meals to enjoy here"
558,"It a nice place , bed and breakfast , laundry service , Restaurants ."
559,Nice place
560,Good services
561,Because they are slow
562,Nice place with quality service delivery
563,Very decent place with good food . Ready to help receptionist A dstv access was the missing thing on my one night lodging . Whatever you do don ' t miss the free breakfast
564,Absolutely great
565,Good place for tilapia . Make sure that if you are taking put you check if it is required meal . 2x I was given a different meal . They have to be serious on orders
566,SUPER COOL
567,They have nice food and peaceful environment .
568,Best come from the West
569,Good food
570,It was really great
571,Neat hospitality .
572,Its a cool place to be
573,Good
574,Has an awesome environment
575,Located on the main Elubo highway . Very nice place to be .
576,Their food is delicious
577,It ' s a good place
578,A nice place to stay . Just that it ’ s not on the main road .
579,Very luxurious and affordable
580,It ' s not open for business . Under construction .
581,Great place to stay would go back next time am in Ghana
582,It ' s a beautiful place . . . I adore
583,"Nice place to stay for Asa Baako , wonderful food . Wonderful staff . Wonderful host . Definitely recommend !"
584,"after about 20mns walk from busua beach , the view that greets you when you finally made it to Paradiso beach resort is simple heavenly and fulfilling , I would recommend the tree house for a group of 4 or more : ) it comes with a dorm and its very affordable : ) enjoy !"
585,What a magical place ! The name paradiso is a correct name because it ' s a true paradise . The owner Gina is really nice and a great cook ! The rooms are great and you ' ve got a amazing view when you wake up . I would definitely recommend this place ! Gina heel erg bedankt voor de goede service en de gezellige movienight !
586,"My stay at Paradiso was everything I could have hoped for and SO much more . I left Busua with a community of friends who made my stay unlike any other trip I have been on . Gina , the host , is beyond accommodating and her staff is friendly , attentive , responsive , and a joy to be around . The property also surprised me . The location is perfect , a 3 - 4 minute walk from the beach and the chaos of the "" downtown "" Busua area , and feels extremely private . The view is stunning , right on the water overlooking Busua beach and Abokwa Island . The rooms were spacious and clean . I can ' t thank Gina enough for everything she did for us , and a huge thanks to her staff ( shout out to Anita for making such AMAZING meals ) . I will not think twice about staying here again when I return to Busua . Until next time !"
