,comment
975,Beautiful and cool
976,nan
977,"Had a wonderful stay here in 2017. We had the entire place to ourselves, the staff was very friendly and the food was okay. I really enjoyed it, will hopefully visit again one day :)"
978,"Ouahhhhhh.
If paradise looks a little like that : sign up!"
979,Amazing experience. If you want some peace and quiet this is the perfect  place. You can do some activities in the towns nearby but its not really needed cos Lizzy and James will make sure you have an amazing time.
980,"Beautiful place, good food, nice hosts."
981,nan
982,nan
983,Encantador simplesmente amei volto no Natal!!!!!!
984,nan
985,"My wife and I stayed there for one night as we passed along the beach and had a wonderful stay! We actually only planned to spend the day there but enjoyed it so much we ended up spending the night and most of the next day there! The setting is just indescribable. I've travelled the whole of Ghana and it is by far the nicest beach in Ghana with a perfect swimming beach. Food is wonderful and the rooms and simple but have clean and comfortable. Have fan, running water, mosquito nets and nice bedding and sheets. Would highly recommend! All previously mentioned security issues appear to have been resolved!"
986,Very nice views from this place but staff must be given a customer service lesson. The place could be better kept.
987,It's a very cool place to have a holiday
988,beautifully endowed with a calm and quite atmosphere. definitely one of the perfect weekend getaway.
989,nan
990,nan
991,nan
992,"Amazing remove place for weekend getaway, during low tide the bay is very pleasant to swim in."
993,nan
994,nan
995,Rooms are not modern style
996,Its a very lovely place and the sea is simply amazing. Very friendly staff. Its just a bit far but very lovely
997,"Superb site, good food"
998,The size of the rooms remind me of the cells in cape coast.
999,"The lodge offers variety accommodation,  it costs 100-140ghs. It is clean and comfortable. Restaurant offers varieties of food,  even vegetarian style. Just that food is more expensive than I expected. The bay itself is beautiful and beach is clean and safe,  even for kids. You can visit nearby village. Just to get to Cape Three Points is bit of the problem as you either have to walk 2 hours (which you have to hire guide)  or go back to Agona and get car to that place. The place is really calm and we enjoyed the beach."
1000,"clean beach,warm reception,very beautiful at night and early mornings"
1001,nan
1002,Robberies take place over and over again. People from the village enter into the rooms while people are sleeping! Check TripAdvisor reviews for more information. Don't go!!!!
1003,"Supper reception by ""Rasta"", the caretaker. Great security. Nice people."
1004,"Une des baies les plus belles du Ghana, un lieu incontournable à visiter, paix et détente assurée !"
1005,Lieu paradisiaque. Acceuil super Ocezn très sûr. Plus belle plage du Ghana
1006,"Un très bel endroit où profiter de la plage en toute tranquillité. Un service impeccable : accueil chaleureux, disponibilité du personnel sans oublier la qualité des repas."
1007,Good place to be.can't write much but be there and see it your self. Tourist attractions perfect. By Labister Yankey
1008,it was an amazing place to stay and i would recommend it to everyone.  i spent a little over a week here and i don't think i will ever forget it.
1009,"This i my favorite place all over Africa, brilliant, mesmerisingly, africadelic Olivier & Danielle made a great job !"
1010,nan
1011,Great place
1012,nan
1013,nan
1014,Good food and good ambience
1015,Nice environment
1016,nan
1017,nan
1018,nan
1019,nan
1020,That's where we had our honeymoon some years back and it was just perfect.
1021,nan
1022,nan
1023,nan
1024,nan
1025,nan
1026,nan
1027,nan
1028,nan
1029,nan
1030,nan
1031,"Located in the western region of Ghana, Esiama along the Takoradi Elubo main road."
1032,nan
1033,nan
1034,Food was very delicious and the prices very affordable.
1035,Great experience
1036,It is a very nice place with a sweet serene atmosphere
1037,nan
1038,nan
1039,nan
1040,nan
1041,nan
1042,nan
1043,nan
1044,nan
1045,is place to be
1046,nan
1047,Their rooms are spacious and nice
1048,nan
1049,Very friendly and helpful staff 👍
1050,Nice place
1051,"Peaceful and calm although it's situated in proximity to the Essiama town. Even if you don't get everything you want there, it only takes a few minutes to get to the town and buy whatever you want.

The town is very lively in the evening. Choppables are everywhere. The rooms are okay."
1052,nan
1053,"Good service
Neat rooms
Good and tasty food
Clean environment"
1054,nan
1055,Excellent rooms with quality services
1056,nan
1057,nan
1058,"Really nice hotel. If you want the best of Nzema Akyeke and Tilapia, please visit this hotel. The staff are very friendly."
1059,nan
1060,nan
1061,Food 8/10. Ambience 9/10. Best place you can relax from the noise and stress in Sekondi-Takoradi
1062,it a place to be
1063,Having my Holidays in your Hotel was a fantastic one.
1064,Serene atmosphere
1065,Good
1066,"Veivaag Lodge is one of the best places you can ever imagine to have a wonderful moment or spend the weekend with your love ones or family. Their services soo good and their meals are great. There is a secure parking lot, wondering where to spend you weekend? Just visit Veivaag and thank me later. Enjoy the beautiful and comforting sea view which helps to relax and reflect on yourself. There's also a swimming pool for both adult and children with a lifesaver always observing the various activities, also a kids playing with lot of stuffs to play with.
Their food menu and prices are moderate too...do visit and have a wonderful moment"
1067,nan
1068,nan
1069,Serene atmosphere and helpful staff. Food was not bad. Will definitely stay there again anytime I'm in Sekondi.
1070,Good hotel for vacation
1071,nan
1072,nan
1073,nan
1074,nan
1075,Nice rooms.. not impressed with the food.
1076,nan
1077,nan
1078,nan
1079,nan
1080,nan
1081,It has great view is a nice place to be but they should get a place for smoking. Not all is ok with the smoke scent
1082,It's a nice place to stay with such a cool view.
1083,nan
1084,Great sea view. Entertainment at its best
1085,nan
1086,nan
1087,nan
1088,Great place to chill and swim!
1089,nan
1090,Beautiful ocean and pool view. Food was great but pricey. Helpful staff. Will definitely go there again.
1091,nan
1092,nan
1093,nan
1094,nan
1095,Is a very good place and has a conducive environment
1096,nan
1097,nan
1098,nan
1099,nan
1100,"Leuk verblijf waar je voor een 60,- euro per nacht een mooi app hebt met een prima ontbijt. Wel even zeggen dat je het op het terras op wil eten anders staan ze of half 7 aan de deur te bonken 🤪 Het avondeten is wel een uitdaging. Dit gezien bijna alles op is wat je wil bestellen, maar ja je kan niet alles hebben het is Afrika."
1101,"I stayed there back in 2012.
It’s an amazn place with a pool.. ocean view.
And great outdoors bar/ patio.
It became a home away from home,  6weeks x 2….
The staff and owners are just amazing as the cooks… the food is Superb…. The Charcoal Grilled Lobster is Super!!!!!.. even better yet!!! On my  first day, pulling in… there was a truck unloading a 200lb. grouper… absolutely lip smacking

The room I had, over looked the pool… Very comfy beds … AC worked great!
great times….

Bottom line! Ever time I was in need… I was helped, from getting cash advance on my visa to laundry being done

It is some what mountainous, with trails.
I would travels  these, my coolest find was a boars tusk…

Good Times at the Veivagg!

Go There!!"
1102,nan
1103,nan
1104,nan
1105,Nice place to relax
1106,"had a very good time there.... in fact it was fun together with my kid bro.
the place is also a  hide out for every eyes to see"
1107,nan
1108,"Serene Environment. A good place for the Weekend. The weather, the sea view makes it an all important place to visit for a good relaxation of the mind"
1109,nan
1110,"Difficile da raggiungere, ma alla fine della strada, un angolo di paradiso"
1111,nan
1112,"I am simply posting here again because you can't respond to a post once the owner has posted. I just want to clarify that there is no way the previous response was accurate because it referred to me receiving a discount because my father was arriving from cape coast. My father passed away some time back, I came with my friend, and we certainly did not receive a discount. The toilet seat was dirty, there's no way around that, I cleaned it.  I strongly feel in the service industry there is no room for arrogance but for humility and proving the best service. We did not receive that at Safari Beach Lodge. The kitchen staff was friendly but the food was late, no arguing that, even ask them because we went to ask for the food two times and they apologized both times. There was a group of 5 gentlemen also staying in the hotel so maybe that delayed out food. My main annoyance had come from one of the staff that seemed relaxed about the fact that our room was not ready. We had travelled for 8 hours and just wanted to rest, he kept telling us it as not his fault a lot of things had gone wrong that day. I really wish the owner would have been there the night we came, at this point its just my word against what the owner has been told. I am an avid traveller and take reviews seriously. I caution those that want to book at Safari Beach Lodge. I truly wish the renovations are your only problems and once that is resolved the place can operate normally."
1113,"Toller abseits gelegener Platz. Mitten im Grünen, uns hat es sehr gut gefallen, schönster und suaberster Strand in Ghana. Wasser und Strom ging nicht immer, aber hey ihr seid in Ghana dafür Personal hilfsbereit für Ausflüge. Essen war traumhaft gab auch jeden Tag etwas anderes."
1114,nan
1115,nan
1116,Cool place for relaxation
1117,nan
1118,"...on the Esiama-Elubo Road, good meals to enjoy here"
1119,"It a nice place, bed and breakfast, laundry service, Restaurants."
1120,nan
1121,nan
1122,Nice place
1123,nan
1124,nan
1125,Good services
1126,nan
1127,nan
1128,nan
1129,Because they are slow
1130,nan
1131,nan
1132,nan
1133,Nice place with quality service delivery
1134,"Very decent place with good food. Ready to help receptionist
A dstv access was the missing thing on my one night lodging.

Whatever you do don't miss the free breakfast"
1135,nan
1136,Absolutely great
1137,Good place for tilapia. Make sure that if you are taking put you check if it is required meal. 2x I was given a different meal. They have to be serious on orders
1138,nan
1139,nan
1140,nan
1141,SUPER COOL
1142,nan
1143,nan
1144,nan
1145,They have nice food and peaceful environment.
1146,Best come from the West
1147,Good food
1148,nan
1149,It was really great
1150,Neat hospitality.
1151,Its a cool place to be
1152,nan
1153,Good
1154,Has an awesome environment
1155,nan
1156,Located on the main Elubo highway.  Very nice place to be.
1157,nan
1158,nan
1159,nan
1160,nan
1161,nan
1162,Their food is delicious
1163,nan
1164,nan
1165,It's a good place
1166,nan
1167,A nice place to stay. Just that it’s not on the main road.
1168,nan
1169,nan
1170,Very luxurious and affordable
1171,nan
1172,nan
1173,It's not open for business. Under construction.
1174,Great place to stay would go back next time  am in Ghana
1175,nan
1176,It's a beautiful place... I adore
1177,"Nice place to stay for Asa Baako, wonderful food. Wonderful staff. Wonderful host. Definitely recommend!"
1178,nan
1179,nan
1180,nan
1181,nan
1182,"after about 20mns walk from busua beach, the view that greets you when you finally made it to Paradiso beach resort is simple heavenly and fulfilling, I would recommend the tree house for a group of 4 or more :) it comes with a dorm and its very affordable :) enjoy!"
1183,What a magical place! The name paradiso is a correct name because it's a true paradise. The owner Gina is really nice and a great cook! The rooms are great and you've got a amazing view when you wake up. I would definitely recommend this place! Gina heel erg bedankt voor de goede service en de gezellige movienight!
1184,"My stay at Paradiso was everything I could have hoped for and SO much more. I left Busua with a community of friends who made my stay unlike any other trip I have been on. Gina, the host, is beyond accommodating and her staff is friendly, attentive, responsive, and a joy to be around. The property also surprised me. The location is perfect, a 3-4 minute walk from the beach and the chaos of the ""downtown"" Busua area, and feels extremely private. The view is stunning, right on the water overlooking Busua beach and Abokwa Island. The rooms were spacious and clean.

I can't thank Gina enough for everything she did for us, and a huge thanks to her staff (shout out to Anita for making such AMAZING meals). I will not think twice about staying here again when I return to Busua. Until next time!"
1185,"Gina’s place is the most beautiful and peaceful in Ghana. We enjoyed the food, the clean and amazing houses, the great hospitality and very friendly staff. Tonny and Anita are taking good care for their guests. The beach in Busua is absolutely clean, surfing is perfect! Thanks a lot for all!"
1186,nan
1187,"IT IS a great place to stay. Gina cooks awesome what ever You Like. She is a lovely Woman.She makes You feel Like Home. Also a save place with Nice people artround.
Simple a very good place to relaxe!!!! And also very Clean.
I Loved IT
Nat"
1188,"Beautifully located small resort with six round chalets (1-2 persons each) with superb ocean views. An ideal place to just relax and enjoy the nice, quiet scenery at daytime with nothing but the breaking waves of the ocean and the crickets to hear at night. Nice, wide sandy beach is accessible within minutes by foot. The resort is in good condition (rooms with restroom and shower, moscito screens, fan, fridge, safe), especially considering that the place is in the heart of real Africa. The owner and her personnel are warm and very friendly and will do everything to accommodate your needs and make your stay a pleasant one. Even if you come for only a short stay, by no means miss the excellent cuisine; the owner and her assistant will prepare very tasty, freshly made breakfasts, lunch or dinner in local and/or international style. Full recommendation!

Eine wunderschöne kleine Anlage mit sechs runden Zimmern im Bungalowstil (für je 1-2 Personen) mit herrlichem Ozeanblick. Ideal, um einfach mal auszuspannen und die schöne, ruhige Landschaft bei Tag und nichts als Meeresbrandung und Grillenzirpen bei Nacht zu genießen.  Herrlicher, breiter Sandstrand zu Fuß in wenigen Minuten erreichbar. Die Anlage ist in gutem Zustand (Zimmer mit Dusche und WC, Mückenschutz, Ventilator, Kühlschrank, Safe), insbesondere wenn man bedenkt, im Herzen des wahren Afrikas zu sein. Die Leitung und das Personal sind sehr freundlich, die Atmosphäre familiär und alles wird getan, den Wünschen des Gastes entgegenzukommen und den Aufenthalt angenehm zu gestalten. Auch wenn man nur kurz bleiben sollte, darf man die sehr gute Küche nicht auslassen. Die Managerin und ihre Assistentin bereiten alle Mahlzeiten (Frühstück, Mittag- und Abendessen) frisch und sehr schmackhaft zu, egal ob afrikanische oder europäische Gerichte. Sehr empfehlenswert!"
1189,"Wonderful gem, hidden away from the bustle, overlooking the ocean. A paradise for real, and Mama Gina makes sure it stays that way. She goes out of her way to make us feel at home. Every meal is home cooked and fresh. Sit under the canopies, gaze into the ocean and just relax :)"
1190,nan
1191,Great place to relax with a fantastic view directly by the ocean. Clean and comfortable huts. Friendly and perfekt service. Best Food around. Real Coffee and fresh juices. A place to feel like home.
1192,"""Good beach. Hotel outdated.""
One of the best beaches in Ghana, clean white sand and good natural views. The staff was nice and the food was decent, but the service was usually slow. If you're considering order lunch to be brought to you in the beach, do it 2 hours in advance. The rooms were confortable, but outdated. Forget the pool..."
1193,"A quiet place by the beach with a million dollar sea view and clean huts,great food where you can unwind and hide away from the busy city life.Friendly staff,good hostess!A place that stresses that the beautiful tjings in life shouldn't always be expensive"
1194,nan
1195,The place is a total waste. The place is very dirty and mosquitoes infested.  The authorities should simply close down the facility.
1196,There rooms needs to be well furnished to be a normal standard room
1197,It's good for a low budget guys. Their services are okay too. My first point of call anytime I'm visiting Cape Coast.
1198,It was very good
1199,nan
1200,nan
1201,nan
1202,nan
1203,nan
1204,The room I went in was not good at all some of the plugs wer not working..I their rooms need renovation
1205,nan
1206,nan
1207,"Jangels Hotel is a small place but it will work for you perfectly for that short stay,
From the point of students and academics purposes and low budget this is an ok place.
It’s quite a low class place but due to its location near or on campus makes it easy for one to avoid moving long distances in order to save time and avoid stress if one needs to be close by for campus and surrounding activities.
I wonder why they are invisible when I was searching for ‘hotels close by’ online,
Hope they do something about it to enable easy and quick online visibility ."
1208,nan
1209,Very close to Cape Coast stadium
1210,Good
1211,"The hotel was good, but wasn't that good. Anyhow, I was happy to get a place to lodge"
1212,nan
1213,"Nice rooms, cool rate n friendly staffs"
1214,Their customer service was good. The waiters and receptionist are very friendly and humble
1215,Not a fancy hotel though but their hospitality is not bad. Jangels is opposite the Cape Coast Stadium. The rooms are not bad but prices are a bit high.
1216,Good place
1217,Best Place To Be For A Vacation Or Overnight Stay. Love It
1218,nan
1219,nan
1220,nan
1221,nan
1222,nan
1223,nan
1224,The place is nice to visit
1225,nan
1226,nan
1227,I just love the natural environment it provides
1228,It's a comfortable place to stay
1229,nan
1230,nan
1231,"Serene environment
You'll never regret going there"
1232,Wow !exact location i have been
1233,nan
1234,nan
1235,nan
1236,nan
1237,nan
1238,nan
1239,Very poor service by staff with some flimsy excuses.
1240,Great weekend place
1241,It was a great place  with  good environment.
1242,nan
1243,nan
1244,nan
1245,nan
1246,nan
1247,Very friendly
1248,nan
1249,Great place for a thrift budget.
1250,nan
1251,Great
1252,"Safe, clean and serene. Warm reception from in-house staff. Comfortable and spacious rooms with air-conditioning, cable tv facilities available. Hot water option available in al comfortable bath rooms. Water and electricity are all set. As a guest, i was able order for food with my choice as priority. An open air roof top is perfect for your relaxation. A well-stocked mini bar with all your beverages available chilled. Located in a quiet neighbourhood, it's a good place to lodge when you visit Cape Coast. An"
1253,Great
1254,nan
1255,nan
1256,Nice n cool place
1257,Very interesting place to be
1258,Nice
1259,Nice place
1260,nan
1261,It is a very nice place to spend quality evening and time with your partner. Quiet location. I love it
1262,nan
1263,Serene environment
1264,Very serene environment n nice view . good hideout
1265,nan
1266,Not be inside  before
1267,"Though old and mosquito ridden due to closeness to lagoon, the view is nice and the staff are kind and considerate. Really quiet and non intrusive location. Also all promised amenities work. Like water heater, AC, TV etc"
1268,"A cozy view over the #FosoLagoon
Nice and serene"
1269,nan
1270,It a cool area . And a hide out place as well. Really enjoy anytime I spent time there
1271,nan
1272,Fantastic services and rooms
1273,Serene
1274,nan
1275,"Serene atmosphere, great food, delightful entertainment"
1276,"Excellent service, most rooms have air conditions with suitable prices available"
1277,nan
1278,Leaky bathrooms with fluctuating power supply
1279,nan
1280,nan
1281,nan
1282,nan
1283,"Comfortable,nice and clean."
1284,nan
1285,Its a nice place to be
1286,The place is soo peaceful
1287,nan
1288,nan
1289,Need to improve bathrooms
1290,nan
1291,nan
1292,Very nice and quiet environment
1293,nan
1294,The is a lot to learn from history
1295,nan
1296,nan
1297,nan
1298,nan
1299,nan
1300,nan
1301,nan
1302,A cool and serene place to be of looking for where to spend the night with nature's touch.
1303,Very nice place
1304,nan
1305,nan
1306,nan
1307,nan
1308,This lodge is a low budget place and they also provide breakfast and it is closer to Cape Coast Teaching Hospital.
1309,I really love this lodge. Serene environment with good customer care
1310,The road leading to the place is bad. Eden lodge is one of the economical places for guest's
1311,nan
1312,nan
1313,"The road to the place is in a bad shape. However, that is not the fault of Eden Lodge. I am just saying it so other people do not walk to the place on rainy days.

But the place is a very nice place. A cool budget accommodation. Easy to find and there is this one lady among the staff who was very hospitable. The male staff too was great."
1314,Nice hideout.
1315,"The Lodge was beautiful and staff lovingly cared for us. The room was good , simple and clean.Some plants would be nice. The chck in was quick and friendly. We enjoyed our stay and vacation. simply a breathtaking country and a great and exciting culture. Thx for the great time. C&C"
1316,A cute place with a cozy environment. Staff are friendly too.
1317,Has a serene environment. Home away from home.
1318,nan
1319,nan
1320,Oh I think eden is cool with the green and the pool environment really clean
1321,nan
1322,nan
1323,Nice place
1324,a good hideout but no changes over the years
1325,nan
1326,Like the greenery
1327,nan
1328,"Eden's Lodge is the best place you can be with your family and friends, nice rooms very neat with Ac"
1329,"The place is cool, green and relaxing to be"
1330,"I can’t do a zero star review, I paid my reservations for 2 rooms for 3 nights on hotels.com once we arrived they expected me to pay them cash again! (us dollars) and they wanted me to call hotels.com and ask for a refund. They didn’t allow me to check in. It was hot, it had been a long journey and all I wanted to was to relax.   We ended up having to call the taxi cabs again and take us to many hotels and shop for  accommodations that take credit cards which is hard to find in this area and the only reason why we booked in the first place. Absolutely horrible 🙈"
1331,Nice garden for a wedding ceremony
1332,Good
1333,Professional and clean environment.
1334,nan
1335,Nice place
1336,There is a simple route to the place but the map elongated it. Needs review.
1337,Guest House
1338,nan
1339,Catchy entrance but poor reception
1340,nan
1341,Satisfied
1342,I think this place is very affordable.
1343,Its just okay...not special
1344,"I stayed here whiles in Ghana on holidays, on my very first visit to Cape coast to see the castle. At first I wasn’t too sure about the place but the workers were friendly , rooms were very clean with proper running water and the AC worked perfectly fine. The next morning I was surprised with a free breakfast. I Definitely recommend this place , very affordable with that family vibe!"
1345,Affordable and nice place
1346,nan
1347,"A hotel at a good location ... not so far a distance from the Cape Coast Teaching Hospital and Cape Coast stadium.
Side attraction: Pool, bus services and free breakfast
Make your reservation now"
1348,nan
1349,nan
1350,nan
1351,nan
1352,The breakfast was good but the bathrooms are small in most rooms.
1353,"Nice restaurant, good food, excellence customer service and it's budget-friendly."
1354,nan
1355,nan
1356,nan
1357,Good facility. The fact that there was hat water in my room was amazing.  Nice breakfast and fast WiFi.  I recommend this place. I also noticed the guys washing all the cars on the compound . That was a wow experience to me.
1358,nan
1359,nan
1360,nan
1361,nan
1362,"Great reception, the rooms are comfy ."
1363,nan
1364,"In fact it was very nice place to host programs,so peacefully and seren environment"
1365,It's a nice place to lodge.
1366,More room for improvement.
1367,nan
1368,nan
1369,nan
1370,nan
1371,nan
1372,nan
1373,Great place with nice people
1374,nan
1375,"The rooms are comfortable, their services are soothing and locating the place is easy and convenient."
1376,nan
1377,nan
1378,nan
1379,I love the swimming pool for kids
1380,nan
1381,Nice Hotel with swimming pool and good restaurant. Also with Night Club in the hotel premises..
1382,"It was very nice place to go n rest there.
The environment is very cool place and the location is very simple to find. Enough car parking space, good security, good service and swimming pool"
1383,Nice and spacious rooms with a swimming pool. The place boasts of one of the liveliest clubs in the city.
1384,nan
1385,nan
1386,nan
1387,nan
1388,Great service
1389,nan
1390,nan
1391,nan
1392,It's a nice place to pass the night when you are around Adisadel College.
1393,Nice place for your Comfort
1394,nan
1395,Good place for relaxation.
1396,nan
1397,nan
1398,Cool place
1399,"-Nice and comfortable rooms
-Air conditioned rooms
-A very quiet and serene area
-Affordable prices for rooms
-Beautiful environment
-Car park available (not very very big)
-Generator plant
-Friendly customer service/receptionists
-A big hall area on ground floor
-No wheelchair disability accessible
-No swimming pool 🏊
-Gated and walled all around
-Gate closes at night for security purposes"
1400,nan
1401,Perfect and easy
1402,nan
1403,nan
1404,nan
1405,Hmm
1406,nan
1407,Safe place
1408,Good hospitality.
1409,A nice place. Not expensive. Need some maintenance though.
1410,Great reception.
1411,nan
1412,"The food is not all that nice,kai"
1413,nan
1414,nan
1415,nan
1416,nan
1417,nice and neat rooms... price is not too much but above average
1418,nan
1419,Nice hotel with amenities and also very Central in Cape Coast. I enjoyed my stay here and I know you will love it too. Service is also great
1420,nan
1421,"Its naturally a quiet environment. The serenity  of the place makes it the choicest for guests. The services, if upped and maintained would add more comfort for patrons."
1422,its cool
1423,Poor bathroom
1424,Excellent
1425,Nice place to rest for the day for a stop over
1426,nan
1427,nan
1428,Satisfactory services. Clean and hygienic accommodation.
1429,nan
1430,nan
1431,Very bad
1432,Beautiful place
1433,Poor bathroom 🚽
1434,One star will be charitable.
1435,Ermm... not too bad
1436,Grt
1437,nan
1438,Very nice place to be
1439,nan
1440,Resorts should get at least pool
1441,Didn't feel safe there
1442,"The hotel is inside CapeCoast, close to the DVLA area. The hotel has a very larger compound with no noise but close to the road. It is about 15 minutes to the CapeCoast castle (one of the main tourist attractions here) and also close to one hotel, which has seen better days (Hans Botel Hotel).
The hotel is new, very new with excellent beds , showers and good air-conditioning.  There, however, is not a restaurant or a swimming pool . I heard it is still in construction.  The hotel has very spacious rooms which cost at the time of this Review 600cedis for their best.
Customer service is OK and rooms are clean and comfortable."
1443,"Nice place, neat rooms and environment, responsive attendants. I really enjoyed the breakfast and the Ghanaian local meals we ordered, reasonable pricing. Had our meals at the front terrace. Stayed for 4 days(family)."
1444,New and nicely built hotel inside cape coast. Rooms are fully furnished with free Wi-Fi which is so fast . Breakfast is served as well.
1445,nan
1446,Infant the place is very very beautiful and nice  especially their room perfect when you come to their beds perfect.
1447,"Exquisite, lovely, Wooow this is a very nice place to be, their services, their rooms, their the best you will get when you are in Cape Coast. I recommend Park Springs Hotel to everyone for your honeymoons, for Vacations and etc."
1448,Very nice place for vacation
1449,nan
1450,nan
1451,"This is the place to be when you find your self in Cape Coast Elimina area.  Parks Springs Hotel and Resort is serene and close to a lot of tourist sites like Elimina Castle, Cape Coast Castle, Kakum park among others.  Above all the prices are reasonable. Thanks for the great customer service. Will definitely come again."
1452,"Awesome place, clean rooms, spacious car park , serene environment and good breakfast. Will definitely recommend to others."
1453,"Wonderful place to spend the weekend, breakfast was great.
Will definitely be back. highly recommended."
1454,Lovely and welcoming evironment. A good place for relaxation 😌
1455,"Service is amazing, rooms are beautiful, and it’s definitely worth the stay. 1000% recommend"
1456,Food was good. Serene ambiance. I did not see the rooms so I can’t comment on the accommodation.
1457,"Très bon séjour au Kokodo Guest House, chambre équipée et très spacieuse avec balcon, un lit immense pour des nuits confortables et climatisées. A noter, pas d'eau chaude sous la douche, et quelques soucis avec une lampe de chevet.
L'équipe de service est super, souriante et disponible. Une terrasse magnifique au milieu des arbres avec de la place pour tout le monde. Large menu avec de bons choix de plats avec poissons, viandes ou végétarien, tout est très bon!
Nous recommandons fortement!"
1458,Serene 👌🏾
1459,Most wonderful place ever. Food is the best Staff is lovely..Enviroment is great. :-)
1460,This guest house makes local food very interesting...very good taste and enjoyable moments. I recommend it to everyone
1461,nan
1462,"Haven't entered their rooms, so I can't review the rooms.

However, they probably have the best seafood fante fante you'll get anywhere in ghana (slight exaggeration)..

But you cant go wrong with anything on their menu"
1463,Great food. Loved the setup on a hill.
1464,nan
1465,nan
1466,Great chef!
1467,nan
1468,nan
1469,nan
1470,The food was good but it takes forever to be served after you place the order. Service was poor.
1471,Cool n cozy
1472,"Very nice guest house, impressive large bed , service and food 5stars"
1473,Very beautiful place to dine quiet situated on hill nice breeze whilst enjoying tour meal.
1474,Fantastic food there
1475,My all time favorite place
1476,Such a nice and serene environment
1477,"Beautiful atmosphere, very scenic and green location. Food is great, with generous portions. Mr. Asmah is awesome!"
1478,nan
1479,"The 3nights spent at Kokodo with the family were absolutely great. A nice & serene place on a little hill overseeing Mfantsipim. All green around. Great staff & service, delicious meals, clean rooms (although a little stuffy but not bad;few of the fixtures need a little redo too). We loved it & will be definitely returning anytime I’m in Cape."
1480,Cozy place to have a nice fresh dinner in Cape Coast. Moderate prices. Call ahead as your food may keep long
1481,nan
1482,Nice place but not so much a safe place because it's in a hide out
1483,"Cool serene environment
Hideout"
1484,Really Cool and Cost effective and for family vacation
1485,nan
1486,nan
1487,nan
1488,Solid reception
1489,Nice and cool with gentle reception.
1490,"The location is quiet and nice, though if you come from the west the access I a little difficult.
Just stayed for lunch. Though we ate outside the tiny dining room inside is cozy.
Guess what my order (grouper) was cancelled after a few minutes because the fish wasn't available. I presume communication between kitchen and waitresses should avoid this kind of inconvenient.
Food was quite good and well presented, nice tasty sauces. A little more professionality would make the place very agreeable. One extra point awarded for the possibility to use Visa."
1491,nan
1492,nan
1493,nan
1494,Excellent dishes 👌
1495,Always coming there for +5 years. Best restaurant in cape coast!!
1496,nan
1497,"Very quiet place, away from the noisy environment and promote a relaxed mood. Has a natural feel"
1498,Serene place on a hill that overlooks the first secondary school in Ghana called Mfantsipim. Good food. Clean and affordable guest rooms.
1499,nan
1500,Amazing
1501,Very serene and beautiful place... colourful as well
1502,nan
1503,"What a great find! It was highly recommended to us by someone we met in passing in Abidjan and it did not disappoint.

The owners were hospitable and friendly and everyone working there were extremely helpful. It was a quiet getaway from the hustle and bustle of the city.

The room was big and spacious and it was the largest bed I’ve ever seen! Definitely a quirky but pleasant surprise.

Food was great and freshly made to order. Be prepared to wait awhile as it can be a bit slow."
1504,The food was nice. A waiter came to us as soon as we got there and headed to a table. The environment was peaceful and calm as well as homey.
1505,Nice atmosphere. Fast service and cute presentation.
1506,nan
1507,Nice staff
1508,"A nice modern day hospitality facility you can trust here in Cape Coast, Central Region of Ghana.
Big space for parking and outdoor programmes or wedding receptions.
Stop by for a warm, elegant, and soothing experience.

You'll definitely get the value of your money paid"
1509,"Quiet environment with pools and parking lodge, bar and restaurant"
1510,nan
1511,nan
1512,Good for relaxation
1513,The ambience is unique at GRNMA hostel in cape coast 🤩
1514,nan
1515,The hotel is located close to Abura in a central place in Cape Coast. I had challenges with the restaurant operation. Ironing cost extra and room has only one bin in the washroom.
1516,nan
1517,Nice and cool place
1518,"Great service, decent food, clean environment, very safe and reasonably priced"
1519,nan
1520,nan
1521,nan
1522,"Serene ambiance, clean rooms, good food, relaxing atmosphere...."
1523,It's one of the best hotels in Cape Coast and beyond.  It has a very conducive atmosphere with the peace of mind you will want to rest your mind.
1524,nan
1525,nan
1526,"Excellent by the standards of a hotel in it's category. Cool, accessible, secure and clean place with wonderful service delivery."
1527,nan
1528,nan
1529,For your travel Accommodation visit here and enjoy your stay ....
1530,nan
1531,nan
1532,nan
1533,Coozy place to relax
1534,nan
1535,I guess the location is a nice hidden place honeymoon getaways
1536,nan
1537,GRNMA Hostel is a very serene nd peaceful. place to spend the night. Very neat and located close to the Cape Coast teaching hospital with restaurant services.
1538,nan
1539,nan
1540,nan
1541,nan
1542,A new hotel in Cape Coast Area closer to the Nursing and Midwifery School at Abura Academy area. Nice place to be
1543,Good service delivery
1544,Awesome reception
1545,nan
1546,Good place for short stay
1547,nan
1548,nan
1549,nan
1550,nan
1551,nan
1552,nan
1553,Great
1554,Great place
1555,nan
1556,Dit is een simpel en net hotel. Het personeel is vriendelijk en het ontbijt goed. Je kunt parkeren en de kamers zijn Niet duur.
1557,nan
1558,It is at a great location just opposite Metro Mass station. You can get taxi to the location at ease anytime of the day. Rooms are just fine and the service good.
1559,Room is quite small but the place is useful especially for emergency drop ins... Location is close to the regional passport office and directly opposite the Metro Mass Station. Has easy accessibility from the main town and quite affordable.
1560,Basic hotel with everything you need. Could be a little cleaner.
1561,"The Room  was below average, CRT tv  which was not working , They don’t have food at the restaurant you have to buy food outside the  hotel premises 😩 the place needs to be upgraded."
